"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_offroadhatchback0","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Lada Niva 4X4","Ada 4WD","Lada Niva 4X4","Lada Niva 4X4",
"str_iz_hatchbackwheel1","A wheel of the Lada Niva 4X4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","A wheel of the Lada Niva 4X4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Kolo terénního vozu Lada Niva 4X4. Pneumatika s terénním vzorkem k zvýšení ovladatelnosti vozidla v terénu.","Ein Reifen für den Lada Niva 4X4-Offroader. Das tiefe Profil sorgt für guten Halt in schwierigem Gelände.","Колесо внедорожника Lada Niva 4X4. Шина с ярко выраженным протектором для лучшей маневренности в условиях бездорожья.","Koło terenówki Lada Niva 4X4. Głęboki bieżnik polepsza właściwości terenowe pojazdu.","A wheel of the Lada Niva 4X4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Una ruota del fuoristrada Lada Niva 4X4. Pneumatico con scanalature profonde utilizzato per migliorare le capacità di guida del veicolo sui vari terreni.","Una rueda del vehículo todoterreno Lada Niva 4X4. Se usan ruedas con mucho agarre para mejorar la conducción del vehículo en diversos terrenos.","Une roue pour Ada 4x4. La sculpture de la bande de roulement assure l'adhérence du véhicule en terrain accidenté.","Lada Niva 4X4 越野車的輪胎。深胎紋設計，能提升車子在複雜地形中的性能。","Ada 4WD オフロードの車輪。溝の深いトレッドパターンを持つタイヤは、起伏の多い地形での車両の走行能力を高めてくれる。","A wheel of the Lada Niva 4X4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Lada Niva 4X4 越野车的车轮。深花纹轮胎用于提高车辆在地形中的行驶能力。",
"str_iz_hatchbackwheel0","Lada Niva 4X4 Wheel","Lada Niva 4X4 Wheel","Kolo Lada Niva 4X4","Lada Niva 4X4-Reifen","Колесо Lada Niva 4X4","Koło od Ady 4x4","Lada Niva 4X4 Wheel","Ruota Lada Niva 4X4","Rueda de Lada Niva 4X4","Roue de Lada Niva 4X4","Lada Niva 4X4 輪胎","Ada 4WD 車輪","Lada Niva 4X4 Wheel","Lada Niva 4X4 车轮",
"str_iz_hatchbacktrunk1","Trunk door of the Lada Niva 4X4 offroad. Used for keeping trunk contents closed.","Trunk door of the Lada Niva 4X4 offroad. Used for keeping trunk contents closed.","Dveře od kufru terénního vozu Lada Niva 4X4. Používá se k uzavření nákladu v kufru.","Hecktür des Lada Niva 4X4-Offroaders. Schützt den Inhalt des Kofferraums.","Дверь багажника внедорожника Lada Niva 4X4. Не дает содержимому багажника выпасть.","Klapa bagażnika od terenówki Lada Niva 4X4. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk door of the Lada Niva 4X4 offroad. Used for keeping trunk contents closed.","Il portellone posteriore del fuoristrada Lada Niva 4X4. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero del todoterreno Lada Niva 4X4. Evita que las cosas se caigan del maletero.","Un hayon pour Ada 4x4. Permet de fermer le coffre et d'en protéger le contenu.","Lada Niva 4X4 越野車的車廂門。鎖住車廂內的物品。","Ada 4WD オフロードのトランクのドア。トランクに入れた物が飛び出さないように使用される。","Trunk door of the Lada Niva 4X4 offroad. Used for keeping trunk contents closed.","Lada Niva 4X4 越野车的后备箱门。用于关住后备箱装的东西。",
"str_iz_hatchbacktrunk0","Lada Niva 4X4 Trunk Door","Lada Niva 4X4 Trunk Door","Dveře od kufru Lada Niva 4X4","Lada Niva 4X4-Hecktür","Дверь багажника Lada Niva 4X4","Klapa bagażnika od Ady 4x4","Lada Niva 4X4 Trunk Door","Portellone posteriore Lada Niva 4X4","Maletero de Lada Niva 4X4","Hayon de Ada 4x4","Lada Niva 4X4 車廂門","Ada 4WD トランクのドア","Lada Niva 4X4 Trunk Door","Lada Niva 4X4 后备箱门",
"str_iz_hatchbackhood1","Hood of the Lada Niva 4X4 off-road. Helps protect the engine and other sensitive car parts.","Hood of the Lada Niva 4X4 off-road. Helps protect the engine and other sensitive car parts.","Kapota civilního terénního vozu Lada Niva 4X4. Chrání motor a další citlivé součástky auta.","Motorhaube des zivilen Lada Niva 4X4-Offroaders. Schützt den Motor und andere empfindliche Wagenteile.","Капот гражданского внедорожника Lada Niva 4X4. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od terenówki Lada Niva 4X4. Chroni silnik i inne delikatne części samochodu.","Hood of the Lada Niva 4X4 off-road. Helps protect the engine and other sensitive car parts.","Il cofano del fuoristrada per uso civile Lada Niva 4X4. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó del vehículo civil todoterreno Lada Niva 4X4. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour Lada Niva 4X4. Protège le moteur et les pièces essentielles du véhicule.","Lada Niva 4X4 民用越野車的引擎蓋。保護引擎與其他脆弱零件。","Ada 4WD オフロードのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Hood of the Lada Niva 4X4 off-road. Helps protect the engine and other sensitive car parts.","Lada Niva 4X4 民用越野车的引擎盖。可帮助保护发动机和其他敏感的汽车部件。",
"str_iz_hatchbackhood0","Lada Niva 4X4 Hood","Lada Niva 4X4 Hood","Kapota Lada Niva 4X4","Lada Niva 4X4 Motorhaube","Капот Lada Niva 4X4","Maska od Ady 4x4","Lada Niva 4X4 Hood","Cofano Lada Niva 4X4","Capó de Lada Niva 4X4","Capot de Lada Niva 4X4","Lada Niva 4X4 引擎蓋","Ada 4WD ボンネット","Lada Niva 4X4 Hood","Lada Niva 4X4 引擎罩",
"str_iz_hatchbackdoors_driver1","Front left door of the Lada Niva 4X4 off-road. Keeps the driver safe inside the vehicle.","Front left door of the Lada Niva 4X4 off-road. Keeps the driver safe inside the vehicle.","Levé přední dveře terénního vozu Lada Niva 4X4. Chrání řidiče uvnitř vozu.","Linke Vordertür des Lada Niva 4X4-Offroaders. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь внедорожника Lada Niva 4X4. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od terenówki Lada Niva 4X4. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Lada Niva 4X4 off-road. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra del fuoristrada Lada Niva 4X4. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del todoterreno Lada Niva 4X4. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour Ada 4x4. Permet de protéger le conducteur.","Lada Niva 4X4 越野車的左前門。保持駕駛在車內的安全。","Ada 4WD オフロードの左前のドア。運転席の人も安全に乗れる。","Front left door of the Lada Niva 4X4 off-road. Keeps the driver safe inside the vehicle.","Lada Niva 4X4 越野车的左前车门。确保车内驾驶员的安全。",
"str_iz_hatchbackdoors_driver0","Lada Niva 4X4 Left Door","Lada Niva 4X4 Left Door","Levé dveře Lada Niva 4X4","Lada Niva 4X4-Tür links","Левая дверь Lada Niva 4X4","Lewe drzwi od Ady 4x4","Lada Niva 4X4 Left Door","Portiera sinistra Lada Niva 4X4","Puerta izquierda de Lada Niva 4X4","Portière gauche de Lada Niva 4X4","Lada Niva 4X4 左門","Ada 4WD 左のドア","Lada Niva 4X4 Left Door","Lada Niva 4X4 左门",
