"Language",										"original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_offroadhatchback0",						"Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4x4","Ada 4WD","Ada 4x4","Ada 4x4",

"str_hatchbackwheel_ruined0",					"$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel","$UNT$Off-road Wheel",
"str_hatchbackwheel1",							"A wheel of the Ada 4x4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","A wheel of the Ada 4x4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Kolo terénního vozu Ada 4x4. Pneumatika s terénním vzorkem k zvýšení ovladatelnosti vozidla v terénu.","Ein Reifen für den Ada 4x4-Offroader. Das tiefe Profil sorgt für guten Halt in schwierigem Gelände.","Колесо внедорожника Ada 4x4. Шина с ярко выраженным протектором для лучшей маневренности в условиях бездорожья.","Koło terenówki Ada 4x4. Głęboki bieżnik polepsza właściwości terenowe pojazdu.","A wheel of the Ada 4x4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Una ruota del fuoristrada Ada 4x4. Pneumatico con scanalature profonde utilizzato per migliorare le capacità di guida del veicolo sui vari terreni.","Una rueda del vehículo todoterreno Ada 4x4. Se usan ruedas con mucho agarre para mejorar la conducción del vehículo en diversos terrenos.","Une roue pour Ada 4x4. La sculpture de la bande de roulement assure l'adhérence du véhicule en terrain accidenté.","Ada 4x4 越野車的輪胎。深胎紋設計，能提升車子在複雜地形中的性能。","Ada 4WD オフロードの車輪。溝の深いトレッドパターンを持つタイヤは、起伏の多い地形での車両の走行能力を高めてくれる。","A wheel of the Ada 4x4 off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.","Ada 4x4 越野车的车轮。深花纹轮胎用于提高车辆在地形中的行驶能力。",
"str_hatchbackwheel0",							"Ada 4x4 Wheel","Ada 4x4 Wheel","Kolo Ada 4x4","Ada 4x4-Reifen","Колесо Ada 4x4","Koło od Ady 4x4","Ada 4x4 Wheel","Ruota Ada 4x4","Rueda de Ada 4x4","Roue de Ada 4x4","Ada 4x4 輪胎","Ada 4WD 車輪","Ada 4x4 Wheel","Ada 4x4 车轮",
"str_hatchbacktrunk1",							"Trunk door of the Ada 4x4 offroad. Used for keeping trunk contents closed.","Trunk door of the Ada 4x4 offroad. Used for keeping trunk contents closed.","Dveře od kufru terénního vozu Ada 4x4. Používá se k uzavření nákladu v kufru.","Hecktür des Ada 4x4-Offroaders. Schützt den Inhalt des Kofferraums.","Дверь багажника внедорожника Ada 4x4. Не дает содержимому багажника выпасть.","Klapa bagażnika od terenówki Ada 4x4. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk door of the Ada 4x4 offroad. Used for keeping trunk contents closed.","Il portellone posteriore del fuoristrada Ada 4x4. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero del todoterreno Ada 4x4. Evita que las cosas se caigan del maletero.","Un hayon pour Ada 4x4. Permet de fermer le coffre et d'en protéger le contenu.","Ada 4x4 越野車的車廂門。鎖住車廂內的物品。","Ada 4WD オフロードのトランクのドア。トランクに入れた物が飛び出さないように使用される。","Trunk door of the Ada 4x4 offroad. Used for keeping trunk contents closed.","Ada 4x4 越野车的后备箱门。用于关住后备箱装的东西。",
"str_hatchbacktrunk0",							"Ada 4x4 Trunk Door","Ada 4x4 Trunk Door","Dveře od kufru Ada 4x4","Ada 4x4-Hecktür","Дверь багажника Ada 4x4","Klapa bagażnika od Ady 4x4","Ada 4x4 Trunk Door","Portellone posteriore Ada 4x4","Maletero de Ada 4x4","Hayon de Ada 4x4","Ada 4x4 車廂門","Ada 4WD トランクのドア","Ada 4x4 Trunk Door","Ada 4x4 后备箱门",
"str_hatchbackhood1",							"Hood of the Ada 4x4 off-road. Helps protect the engine and other sensitive car parts.","Hood of the Ada 4x4 off-road. Helps protect the engine and other sensitive car parts.","Kapota civilního terénního vozu Ada 4x4. Chrání motor a další citlivé součástky auta.","Motorhaube des zivilen Ada 4x4-Offroaders. Schützt den Motor und andere empfindliche Wagenteile.","Капот гражданского внедорожника Ada 4x4. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od terenówki Ada 4x4. Chroni silnik i inne delikatne części samochodu.","Hood of the Ada 4x4 off-road. Helps protect the engine and other sensitive car parts.","Il cofano del fuoristrada per uso civile Ada 4x4. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó del vehículo civil todoterreno Ada 4x4. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour Ada 4x4. Protège le moteur et les pièces essentielles du véhicule.","Ada 4x4 民用越野車的引擎蓋。保護引擎與其他脆弱零件。","Ada 4WD オフロードのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Hood of the Ada 4x4 off-road. Helps protect the engine and other sensitive car parts.","Ada 4x4 民用越野车的引擎盖。可帮助保护发动机和其他敏感的汽车部件。",
"str_hatchbackhood0",							"Ada 4x4 Hood","Ada 4x4 Hood","Kapota Ada 4x4","Ada 4x4 Motorhaube","Капот Ada 4x4","Maska od Ady 4x4","Ada 4x4 Hood","Cofano Ada 4x4","Capó de Ada 4x4","Capot de Ada 4x4","Ada 4x4 引擎蓋","Ada 4WD ボンネット","Ada 4x4 Hood","Ada 4x4 引擎罩",
"str_hatchbackdoors_driver1",					"Front left door of the Ada 4x4 off-road. Keeps the driver safe inside the vehicle.","Front left door of the Ada 4x4 off-road. Keeps the driver safe inside the vehicle.","Levé přední dveře terénního vozu Ada 4x4. Chrání řidiče uvnitř vozu.","Linke Vordertür des Ada 4x4-Offroaders. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь внедорожника Ada 4x4. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od terenówki Ada 4x4. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Ada 4x4 off-road. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra del fuoristrada Ada 4x4. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del todoterreno Ada 4x4. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour Ada 4x4. Permet de protéger le conducteur.","Ada 4x4 越野車的左前門。保持駕駛在車內的安全。","Ada 4WD オフロードの左前のドア。運転席の人も安全に乗れる。","Front left door of the Ada 4x4 off-road. Keeps the driver safe inside the vehicle.","Ada 4x4 越野车的左前车门。确保车内驾驶员的安全。",
"str_hatchbackdoors_driver0",					"Ada 4x4 Left Door","Ada 4x4 Left Door","Levé dveře Ada 4x4","Ada 4x4-Tür links","Левая дверь Ada 4x4","Lewe drzwi od Ady 4x4","Ada 4x4 Left Door","Portiera sinistra Ada 4x4","Puerta izquierda de Ada 4x4","Portière gauche de Ada 4x4","Ada 4x4 左門","Ada 4WD 左のドア","Ada 4x4 Left Door","Ada 4x4 左门",
"str_hatchbackdoors_codriver1",					"Front right door of the Ada 4x4 off-road. Keeps the co-driver safe inside the vehicle.","Front right door of the Ada 4x4 off-road. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře terénního vozu Ada 4x4. Chrání spolujezdce vepředu.","Rechte Vordertür des Ada 4x4-Offroaders. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь внедорожника Ada 4x4. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od terenówki Ada 4x4. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Ada 4x4 off-road. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra del fuoristrada Ada 4x4. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera del vehículo todoterreno Ada 4x4. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour Ada 4x4. Permet de protéger le passager avant.","Ada 4x4 越野車的右前門。保持副駕駛在車內的安全。","Ada 4WD オフロードの右前のドア。助手席の人も安全に乗れる。","Front right door of the Ada 4x4 off-road. Keeps the co-driver safe inside the vehicle.","Ada 4x4 越野车的右前车门。确保车内副驾驶员的安全。",
"str_hatchbackdoors_codriver0",					"Ada 4x4 Right Door","Ada 4x4 Right Door","Pravé dveře Ada 4x4","Ada 4x4-Tür rechts","Правая дверь Ada 4x4","Prawe drzwi od Ady 4x4","Ada 4x4 Right Door","Portiera destra Ada 4x4","Puerta derecha de Ada 4x4","Portière droite de Ada 4x4","Ada 4x4 右門","Ada 4WD 右のドア","Ada 4x4 Right Door","Ada 4x4 右门",


"str_civiliansedan0",							"Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24","Olga 24",

"str_civsedanwheel_ruined0",					"$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel","$UNT$Sedan Wheel",
"str_civsedanwheel1",							"A wheel of the Olga 24 sedan. Tire pattern is designed for high performance on common road surfaces.","A wheel of the Olga 24 sedan. Tire pattern is designed for high performance on common road surfaces.","Kolo sedanu Olga 24. Vzorek pneumatiky je navržen k vysokým rychlostem na běžném povrchu vozovky.","Ein Reifen für die Olga 24-Limousine. Das Reifenprofil ist für gewöhnliche Straßenbeläge optimiert.","Колесо седана Olga 24. Рисунок протектора обеспечивает высокую маневренность на обычных дорожных покрытиях.","Koło sedana Olga 24. Wzór bieżnika usprawnia jazdę po normalnych drogach.","A wheel of the Olga 24 sedan. Tire pattern is designed for high performance on common road surfaces.","Una ruota della berlina Olga 24. Pneumatico con battistrada concepito per offrire prestazioni elevate sulle strade ordinarie.","Una rueda para la berlina Olga 24. El patrón de la rueda está diseñado para ofrecer un gran rendimiento en superficies comunes.","Une roue pour berline Olga 24. Le pneu offre de très bonnes performances sur route.","Olga 24 四門客車的輪胎。輪胎紋路是專為一般路面所設計，性能優異。","Olga 24 セダンの車輪。タイヤの模様は通常の道路で高性能を見せるようにデザインされている。","A wheel of the Olga 24 sedan. Tire pattern is designed for high performance on common road surfaces.","Olga 24 轿车的车轮。轮胎花纹设计旨在适应普通道路路面，保持高性能。",
"str_civsedanwheel0",							"Olga 24 Wheel","Olga 24 Wheel","Kolo Olga 24","Olga 24-Reifen","Колесо Olga 24","Koło od Olgi 24","Olga 24 Wheel","Ruota Olga 24","Rueda de Olga 24","Roue de Olga 24","Olga 24 輪胎","Olga 24 車輪","Olga 24 Wheel","Olga 24 车轮",
"str_civsedantrunk1",							"Trunk lid of the Olga 24 sedan. Used for keeping trunk contents closed.","Trunk lid of the Olga 24 sedan. Used for keeping trunk contents closed.","Dveře od kufru sedanu Olga 24. Používá se k uzavření nákladu v kufru.","Kofferraumklappe der Olga 24-Limousine. Schützt den Inhalt des Kofferraums.","Крышка багажника седана Olga 24. Не дает содержимому багажника выпасть.","Klapa bagażnika od sedana Olga 24. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk lid of the Olga 24 sedan. Used for keeping trunk contents closed.","Il cofano posteriore della berlina Olga 24. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero de la berlina Olga 24. Se usa para guardar el contenido del maletero.","Un coffre pour berline Olga 24. Permet de fermer le coffre et d'en protéger le contenu.","Olga 24 四門客車的車廂蓋。鎖住車廂內的物品。","Olga 24 セダンのトランクリッド。トランクに入れた物が飛び出さないように使用される。","Trunk lid of the Olga 24 sedan. Used for keeping trunk contents closed.","Olga 24 轿车的后备箱盖。用于关住后备箱装的东西。",
"str_civsedantrunk0",							"Olga 24 Trunk Lid","Olga 24 Trunk Lid","Dveře od kufru Olga 24","Olga 24-Kofferraumklappe","Крышка багажника Olga 24","Klapa bagażnika od Olgi 24","Olga 24 Trunk Lid","Cofano posteriore Olga 24","Maletero de Olga 24","Coffre de Olga 24","Olga 24 車廂蓋","Olga 24 トランクリッド","Olga 24 Trunk Lid","Olga 24 后备箱盖",
